1527112752.7548,0.3852,-0.0047,-0.0082
1527112765.7171,1.3617,-0.0248,0.0012
1527112768.2012,2.3195,-0.0149,0.0144
1527112770.1444,3.2532,-0.0151,0.0301
1527112771.2854,4.1856,0.0536,0.0370
1527112772.6073,5.0477,0.0975,0.0412
1527112774.7114,5.5031,0.0845,0.0591
1527112776.8934,6.5639,0.1349,0.0528
1527112778.4552,7.5072,0.1847,0.0566
1527112780.3588,8.4479,0.2182,0.0392
1527112783.1058,9.3168,0.0290,-0.1935
1527112785.1303,10.3219,-0.2043,-0.2213
1527112787.0938,11.2392,-0.4797,-0.2145
1527112789.0575,12.2303,-0.6284,-0.0627
1527112790.4194,13.1683,-0.7026,-0.0297
1527112792.2408,14.1152,-0.7110,-0.0196
1527112794.2237,15.0499,-0.6816,-0.0104
1527112796.0068,16.0821,-0.7598,0.0094
1527112797.4884,17.0478,-0.8018,-0.0413
1527112798.8502,18.0161,-0.8478,-0.0392
1527112800.2513,18.9542,-0.8647,-0.0351
1527112801.4925,19.9544,-1.0088,-0.1778
1527112802.7331,20.9052,-1.1908,-0.2144
1527112803.8743,21.8382,-1.3916,-0.2139
1527112804.9170,22.8288,-1.6038,-0.2163
1527112805.9792,23.8113,-1.7062,-0.0690
1527112806.9996,24.8299,-1.7586,-0.0426
1527112808.0409,25.6730,-1.7886,-0.0571
1527112809.0825,26.7213,-1.9404,-0.0356
1527112810.3038,27.6633,-2.1512,-0.2584
1527112811.3653,28.5916,-2.4936,-0.1842
1527112812.5270,29.5028,-2.6889,-0.1525
1527112813.8291,30.4366,-2.7658,-0.2266
1527112814.9702,31.3952,-2.8220,0.0475
1527112816.0116,32.3921,-2.8530,0.0641
1527112817.0323,33.4168,-2.8062,0.0703
1527112818.1933,34.3883,-2.7995,0.0552
1527112819.4340,35.3802,-2.7240,0.0631
1527112821.0139,36.3839,-2.6333,0.1287
1527112822.4154,37.3115,-2.2779,0.3321
1527112823.9957,38.1394,-2.0085,0.3525
1527112825.6158,39.1202,-1.6691,0.3575
1527112826.8361,40.0524,-1.3527,0.3543
1527112828.0365,41.0874,-1.2212,0.1442
1527112829.0766,42.0552,-1.0997,0.1178
1527112830.1171,43.0133,-0.9555,0.1019
1527112831.1384,43.9692,-0.8771,0.0993
1527112832.3585,44.9281,-0.8952,-0.0461
1527112833.7587,45.8288,-1.0464,-0.1494
1527112834.9997,46.8178,-1.2282,-0.1450
1527112836.5203,47.7418,-1.4105,-0.1363
1527112837.8000,48.7218,-1.4927,-0.1252
1527112839.1204,49.7132,-1.6374,-0.1106
1527112840.5216,50.6539,-1.7872,-0.1472
1527112841.9627,51.5066,-1.9967,-0.2336
1527112843.3438,52.5342,-2.3998,-0.2321
1527112844.9434,53.4261,-2.4558,-0.1340
1527112846.3438,54.4430,-2.5985,-0.0712
1527112848.0642,55.4146,-2.4405,0.1292
1527112849.3046,56.3821,-2.3176,0.1667
1527112850.3861,57.3149,-2.1172,0.1510
1527112851.8470,58.1592,-2.2416,-0.0638
1527112853.1882,59.1503,-2.3112,-0.1767
1527112854.5887,60.1433,-2.4852,-0.1708
1527112855.9490,61.0104,-2.7544,-0.1826
1527112857.3481,61.9255,-2.7886,-0.1574
1527112858.6891,62.8757,-3.0763,-0.1446
1527112860.1301,63.8530,-3.1664,-0.1469
1527112861.4293,64.8133,-3.2406,-0.1299
1527112862.8707,65.7133,-3.4066,-0.1267
1527112864.5510,66.7474,-3.5527,-0.1250
1527112866.0716,67.6252,-3.4643,0.1291
1527112867.2521,68.6893,-3.3334,0.0823
1527112868.3731,69.7077,-3.3456,0.0315
1527112869.3937,70.6129,-3.2627,0.0389
1527112870.4145,71.5937,-3.2920,0.0539
1527112871.4552,72.5160,-3.2342,0.0676
1527112872.6553,73.3420,-3.2259,-0.0882
1527112874.0151,74.4062,-3.3197,-0.1174
1527112875.3155,75.4186,-3.4431,-0.1064
1527112876.4953,76.4140,-3.5063,-0.1025
1527112877.6768,77.3039,-3.6145,-0.0884
1527112878.8384,78.3170,-3.7095,0.0041
1527112879.8805,79.2281,-3.5956,0.0114
1527112880.9826,80.1998,-3.4866,0.0288
1527112882.0850,81.1662,-3.3927,0.2019
1527112883.0870,82.1352,-3.2025,0.2140
1527112884.0884,83.0661,-3.0319,0.2224
1527112885.1504,84.0607,-2.8572,0.1420
1527112886.2720,84.9699,-2.8123,0.0173
1527112887.5542,85.8396,-3.0203,-0.1345
1527112889.1959,86.7472,-3.3424,-0.3528
1527112890.8167,87.5565,-3.8662,-0.5741
1527112892.4979,88.2029,-4.5902,-0.8895
1527112894.3198,88.5648,-5.4604,-1.1632
1527112895.9417,88.7523,-6.4334,-1.3874
1527112897.4645,88.6586,-7.3357,-1.7250
1527112898.8865,88.2508,-8.1704,-2.0483
1527112900.0285,87.6524,-8.9361,-2.1381
1527112901.0699,87.1192,-9.7115,-2.1649
1527112902.2307,86.5971,-10.3988,-2.2651
1527112903.3729,85.9135,-11.1507,-2.2751
1527112904.5947,85.2403,-11.8510,-2.3635
1527112905.7767,84.3894,-12.4467,-2.4216
1527112906.9983,83.5861,-13.0343,-2.5437
1527112908.1999,82.7890,-13.4986,-2.5926
1527112909.2814,81.9649,-13.9659,-2.5967
1527112910.5026,81.0679,-14.4252,-2.6655
1527112911.7630,80.1472,-14.7528,-2.7599
1527112912.8853,79.2159,-15.0596,-2.8142
1527112914.0675,78.2166,-15.1475,-2.9170
1527112915.2292,77.3857,-15.3236,-2.9278
1527112916.3713,76.3874,-15.5274,-2.9579
1527112917.5128,75.3861,-15.7732,-2.9177
1527112918.7144,74.3700,-15.7668,-3.0820
1527112919.8558,73.3322,-15.7918,-3.1406
1527112920.9369,72.3886,-15.7684,-3.1641
1527112922.0985,71.4557,-15.6272,-3.2273
1527112923.1605,70.5211,-15.4803,-3.2457
1527112924.1826,69.5893,-15.3555,-3.2285
1527112925.3045,68.5879,-15.3247,-3.2214
1527112926.5072,67.6065,-15.2361,-3.2272
1527112927.6294,66.6375,-15.1487,-3.2230
1527112928.7708,65.5857,-15.0981,-3.2077
1527112929.9123,64.5739,-15.1297,-3.1279
1527112930.9741,63.7431,-15.2281,-3.0404
1527112931.9963,62.6986,-15.2528,-3.0376
1527112933.0175,61.6671,-15.3852,-3.0334
1527112934.2204,60.6915,-15.3759,-3.1390
1527112935.4422,59.7281,-15.3112,-3.3151
1527112936.5832,58.8950,-14.9907,-3.4109
1527112937.8044,57.9096,-14.7478,-3.4159
1527112939.1074,56.9505,-14.4916,-3.3130
1527112940.2102,55.9298,-14.3682,-3.3148
1527112941.2518,54.9531,-14.2085,-3.3552
1527112942.2931,53.8960,-13.9396,-3.3255
1527112943.3346,52.8919,-13.7923,-3.2784
1527112944.4362,51.9965,-13.6703,-3.1258
1527112945.6981,50.9998,-13.6772,-3.2176
